IntCode,latitude,longitude,AccOverTime
204,40.428412850464795,-79.97463883802541,"[1, 2, 2, 3, 3, 3, 5, 2, 1, 1, 2, 1, 3, 1]"
205,40.45311140937309,-79.98182293742016,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
206,40.453497699326775,-79.98229491962766,"[0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 2, 0, 0, 4]"
207,40.45416160076779,-79.98310769759499,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
208,40.452823726585606,-79.98147014381139,"[0, 0, 0, 1, 3, 1, 2, 1, 5, 2, 2, 2, 0, 0]"
209,40.45254885156047,-79.98112945888786,"[0, 0, 0, 0, 0, 1, 3, 1, 0, 2, 0, 2, 1, 0]"
210,40.4522724487425,-79.98079681473214,"[0, 0, 0, 2, 3, 1, 0, 2, 2, 2, 0, 3, 2, 2]"
211,40.42785160213093,-79.97309054762259,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
212,40.427405912832405,-79.97313514946987,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 1]"
213,40.426070936425575,-79.97326722616586,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
214,40.42562594981339,-79.9733109505315,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
215,40.424746978535104,-79.973391024207,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
216,40.42651386483151,-79.97322343162898,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]"
217,40.426962984548396,-79.9731789439791,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
